AAPL
MSFT
AMZN
NVDA
GOOGL
BRK.B
GOOG
TSLA
UNH
META
XOM
JNJ
JPM
V
PG
MA
CVX
HD
LLY
MRK
ABBV
AVGO
PEP
KO
PFE
TMO
COST
MCD
WMT
CSCO
BAC
CRM
DIS
ABT
ACN
LIN
ADBE
DHR
VZ
TXN
CMCSA
NKE
NEE
PM
NFLX
WFC
BMY
RTX
AMD
ORCL
T
UPS
QCOM
AMGN
COP
INTC
HON
INTU
SBUX
LOW
UNP
BA
ELV
IBM
CAT
SPGI
GS
PLD
MS
LMT
MDT
DE
GILD
GE
BKNG
BLK
SYK
NOW
AMT
CVS
AXP
MDLZ
ADI
AMAT
ISRG
C
ADP
TJX
REGN
TMUS
VRTX
PYPL
MMC
CB
ZTS
PGR
MO
CI
SO
SCHW
DUK
TGT
SLB
BSX
FISV
BDX
EOG
MU
NOC
CME
LRCX
AON
HUM
EQIX
ITW
CL
ETN
CSX
APD
WM
FCX
ATVI
ICE
CDNS
MPC
MMM
EL
SNPS
CCI
HCA
ORLY
PXD
FDX
SHW
MRNA
EW
KLAC
GIS
GD
VLO
MCK
PSX
USB
AZO
F
PNC
EMR
D
SRE
DG
MSI
AEP
GM
PSA
MCO
CMG
NSC
OXY
ROP
APH
KMB
DXCM
TFC
CTVA
ADM
NXPI
MAR
FTNT
MCHP
MSCI
EXC
ADSK
AJG
BIIB
A
ECL
PH
HES
ANET
NEM
TT
MNST
TEL
TRV
DOW
IDXX
CTAS
JCI
MET
TDG
XEL
O
LHX
AIG
CNC
HLT
HSY
YUM
SYY
IQV
AFL
PCAR
NUE
WMB
CARR
STZ
COF
CHTR
ILMN
ROST
DVN
SPG
MTD
WELL
KMI
PAYX
ED
OTIS
BK
EA
FIS
ON
RMD
CPRT
VICI
AMP
CMI
DD
PPG
AME
ROK
PEG
DLTR
CTSH
PRU
KHC
WBD
WEC
HAL
DHI
KR
VRSK
ALL
ODFL
GEHC
FAST
OKE
KDP
BKR
AWK
GWW
APTV
SBAC
KEYS
ENPH
CSGP
RSG
GPN
ANSS
EIX
ZBH
ES
STT
WST
ABC
ULTA
PCG
DFS
FANG
GLW
LEN
DLR
TSCO
ACGL
HPQ
URI
WBA
CDW
WTW
IT
TROW
CEG
ALGN
LYB
EFX
IFF
AVB
ALB
FTV
EBAY
PWR
AEE
GPC
WY
IR
HIG
VMC
CBRE
FE
ETR
PODD
DTE
CHD
BAX
MLM
MKC
DAL
MPWR
EXR
HOLX
CAH
PPL
FSLR
TDY
DOV
HPE
LH
EQR
CTRA
VRSN
MTB
CLX
TTWO
CNP
STE
OMC
LUV
XYL
ARE
LVS
NDAQ
DRI
COO
WAT
NTRS
INVH
FITB
WAB
CMS
TSN
RJF
CAG
FICO
EXPD
CINF
MOH
VTR
STLD
K
SWKS
PKI
RF
TRGP
BR
SEDG
EPAM
AES
PFG
MAA
NVR
AMCR
IEX
SJM
ATO
MRO
DGX
BALL
HBAN
FLT
HWM
FDS
TER
MOS
ZBRA
LW
IRM
FMC
GRMN
TYL
CF
J
IPG
PAYC
BBY
AVY
NTAP
JBHT
CFG
TXT
RE
EVRG
CBOE
LKQ
BG
INCY
MGM
BRO
LNT
UAL
PTC
PHM
EXPE
ESS
RCL
PKG
POOL
APA
TECH
AKAM
IP
SYF
MKTX
WRB
SNA
STX
ETSY
LDOS
TRMB
TFX
UDR
VTRS
EQT
DPZ
WDC
NDSN
PEAK
HST
SWK
HRL
JKHY
WYNN
KIM
KEY
CPT
BWA
NI
CTLT
BF.B
CHRW
HSIC
CPB
PARA
KMX
CE
L
MAS
JNPR
TAP
CRL
FOXA
CDAY
BIO
GEN
TPR
MTCH
EMN
LYV
CCL
GL
QRVO
CASH_USD
CZR
REG
ROL
ALLE
PNW
XRAY
PNR
UHS
FFIV
AOS
AAL
NRG
HII
RHI
BBWI
BEN
WRK
IVZ
AAP
WHR
BXP
VFC
FRT
SEE
NWSA
HAS
GNRC
AIZ
OGN
DXC
CMA
NCLH
ALK
MHK
RL
DVA
ZION
NWL
FOX
LNC
FRC
NWS
DISH
